"locale","status","label_key","json_file"
"de","missing","switch_network","main.json"
"de","missing","pending_subtext","main.json"
"de","missing","view_faqs","main.json"
"de","missing","conversion_complete","main.json"
"de","missing","something_went_wrong","main.json"
"de","missing","amount_to_receive","main.json"
"de","missing","success_unwrapped","main.json"
"de","missing","clock_icon_alt","main.json"
"de","missing","transaction_details","main.json"
"de","missing","wrapping","main.json"
"de","missing","view_smart_contract_audit","main.json"
"de","missing","done","main.json"
"de","missing","timeout_title","main.json"
"de","missing","start_bridging","main.json"
"de","missing","unwrapped","main.json"
"de","missing","bridge_one_way_notice","main.json"
"de","missing","bridge_title_suffix_inline","main.json"
"de","missing","xtm_token","main.json"
"de","missing","click_to_switch","main.json"
"de","missing","tick_icon_alt","main.json"
"de","missing","see_faq","main.json"
"de","missing","timeout_subtext","main.json"
"de","missing","network_icon_alt","main.json"
"ko","missing","success_title","main.json"
"ko","missing","amount_to_bridge","main.json"
"ko","missing","bridge_description_prefix","main.json"
"ko","missing","transaction_id","main.json"
"ko","missing","wrap_failed_message","main.json"
"ko","missing","having_trouble","main.json"
"ko","missing","max","main.json"
"ko","missing","processing_title","main.json"
"ko","missing","continue","main.json"
"ko","missing","bridge_description_suffix","main.json"
"ko","missing","wrapped","main.json"
"ko","missing","connect_wallet_title","main.json"
"ko","missing","eth_mainnet","main.json"
"ko","missing","tokens_received_title","main.json"
"ko","missing","retry","main.json"
"ko","missing","processing_subtext","main.json"
"ko","missing","please_connect_supported_network","main.json"
"ko","missing","unwrapping","main.json"
"ko","missing","layerzero_oft","main.json"
"ko","missing","connect_wallet_subtitle","main.json"
"ko","missing","bridge_title_prefix","main.json"
"ko","missing","close","main.json"
"ko","missing","destination_address","main.json"
"ko","missing","pending_title","main.json"
"ko","missing","tokens_received_subtext","main.json"
"ko","missing","success_wrapped","main.json"
"ko","missing","success_subtext","main.json"
"ko","missing","timeout_icon_alt","main.json"
"ko","missing","wallet_icon_alt","main.json"
"ko","missing","bridge_title_suffix_break","main.json"
"ko","missing","connect_wallet","main.json"
"ko","missing","unknown_transaction_status","main.json"
"ko","missing","switch_network","main.json"
"ko","missing","pending_subtext","main.json"
"ko","missing","view_faqs","main.json"
"ko","missing","conversion_complete","main.json"
"ko","missing","something_went_wrong","main.json"
"ko","missing","amount_to_receive","main.json"
"ko","missing","success_unwrapped","main.json"
"ko","missing","clock_icon_alt","main.json"
"ko","missing","transaction_details","main.json"
"ko","missing","wrapping","main.json"
"ko","missing","view_smart_contract_audit","main.json"
"ko","missing","done","main.json"
"ko","missing","timeout_title","main.json"
"ko","missing","start_bridging","main.json"
"ko","missing","unwrapped","main.json"
"ko","missing","bridge_one_way_notice","main.json"
"ko","missing","bridge_title_suffix_inline","main.json"
"ko","missing","xtm_token","main.json"
"ko","missing","click_to_switch","main.json"
"ko","missing","tick_icon_alt","main.json"
"ko","missing","see_faq","main.json"
"ko","missing","timeout_subtext","main.json"
"ko","missing","network_icon_alt","main.json"
"id","missing","success_title","main.json"
"id","missing","amount_to_bridge","main.json"
"id","missing","bridge_description_prefix","main.json"
"id","missing","transaction_id","main.json"
"id","missing","wrap_failed_message","main.json"
"id","missing","having_trouble","main.json"
"id","missing","max","main.json"
"id","missing","processing_title","main.json"
"id","missing","continue","main.json"
"id","missing","bridge_description_suffix","main.json"
"id","missing","wrapped","main.json"
"id","missing","connect_wallet_title","main.json"
"id","missing","eth_mainnet","main.json"
"id","missing","tokens_received_title","main.json"
"id","missing","retry","main.json"
"id","missing","processing_subtext","main.json"
"id","missing","please_connect_supported_network","main.json"
"id","missing","unwrapping","main.json"
"id","missing","layerzero_oft","main.json"
"id","missing","connect_wallet_subtitle","main.json"
"id","missing","bridge_title_prefix","main.json"
"id","missing","close","main.json"
"id","missing","destination_address","main.json"
"id","missing","pending_title","main.json"
"id","missing","tokens_received_subtext","main.json"
"id","missing","success_wrapped","main.json"
"id","missing","success_subtext","main.json"
"id","missing","timeout_icon_alt","main.json"
"id","missing","wallet_icon_alt","main.json"
"id","missing","bridge_title_suffix_break","main.json"
